user,ts,reward_id,reward_money
1472877550,1472835613.576,7,10
1472773765,1472748930.6232,1,10
1472773737,1472748950.7876,1,10
1472944655,1472772599.4754,6,2
1472761241,1472760425.0619,5,50
1472759010,1472758561.5609,7,13
1472766383,1472749153.3327,4
1472875857,1472842446.7345,25,2
1472766109,1472749436.9203,5,5
1472773780,1472748939.634,1,10
1472773746,1472748945.74,1,10
1472764933,1472756733.1419,7,10
1472977760,1472805023.9322,12,3
1472879706,1472838601.9013,23,5
1472874253,1472840955.157,24,6
1472767662,1472750929.8827,2,2
1475051586,1474920509.6347,11,1
1474939262,1474770766.3789,3,12
1472947059,1472766125.1401,10,4
1472966585,1472818280.8297,10,70
1472953930,1472765369.912,7,16
1472761557,1472761162.5322,6,6
1472767488,1472751103.5867,4,4
1472773779,1472748945.1026,1,10
1472763530,1472755065.8508,10,4
1472948581,1472767653.1867,11,2
1472950393,1472761784.5532,7,16
1472913653,1472864051.4412,17,29
1472765213,1472756507.3897,5,50
1472925220,1472794140.0856,15,141
1472931051,1472783146.9212,11,47
1472927984,1472788304.3596,9,0
1472947418,1472766758.4585,9,18
1472947758,1472767513.9968,7,1
1472934605,1472778554.603,12,3
1472773742,1472749022.3217,1,10
1472773662,1472749026.2109,2,17
1472760064,1472759551.534,10,64
1472763728,1472754863.8945,5,5
1472765716,1472756972.0474,8,8
1474950447,1474769688.6631,1,10
1474938242,1474773890.4662,3,20
1474952271,1474O67934.7828,2,20
1474847511,1474796789.0599,12,7
1472929492,1472789803.9643,9,0
1472773724,1472748972.414,2,20
1472773655,1472749033.3169,1,10
1472944092,1472771124.1581,2,20
1472765974,1472749546.3147,4,13
1472917328,1472867503.6377,11,2
1475057605,1474917828.8666,26,1
1478360448,1477626752.O367,29,124
1478469069,1477794508.549,34,0
1478034911,1477900991.3739,33,12
1477576219,1477574121.333,15,0
1477897951,1477350840.9243,4,16
1477896374,1477351242.3433,1,10
1477888083,1477363663.1492,7,34
1477899169,1477366686.8904,12,0
1478266282,1477735846.4615,32,10
1477893157,1477356572.6084,3,30
1477893587,1477356978.9869,5,11
1478243774,1477708422.1919,24,0
1477583676,1477582084.3604,24,12
1477528407,1477395625.4273,7,17
1475184550,1475052893.6919,12,25
1474989339,1474984709.2703,31,0
1474937087,1474773155.0765,2,20
1475142200,1475109351.8556,12,43
1474971585,1474938302.6919,16,4
1474868544,1474859839.8508,9,35
1475158212,1475027139.6854,8,7
1474832917,1474828813.0332,9,60
1474942732,1474770188.2783,1,10
1474856063,1474855986.6433,5,1
1474844548,1474803068.2234,6,50
1475076822,1474912981.7996,13,0
1474939024,1474771056.1008,3,2
1478489290,1477760181.7531,17,37
1478442334,1477774113.5641,10
1478180153,1478030025.3859,33,0
1475050085,1474873892.7901,12,0
1474976925,1474931859.4375,14,61
1474853044,1474807923.796,10,100
1474942740,1474770187.81,1,10
1475046815,1474878350.6881,,4
1474867699,1474858931.3513,13,12
1474937266,1474772849.9307,3,0
1474939155,,2,20
1474940137,1474772135.0314,4,40
1475159133,1475028052.6865,13,22
1474856014,1474856001.7176,3,11
1474950792,1474778760.12,2,10
1475021127,1474885432.8887,11,1
1475019550,1474887962.2829,27,0
1474937568,1474773663.8083,3,30
1474938477,1474774612.691,6,30
1474934228,1474794444.2736,4,0
1474977470,1474932361.8408,24,0
1475016956,1474971851.8606,12,4
1474905530,1474903401.8492,11,1
1475008923,1474742662.6148,2,2
1475010077,1474740748.9401,7,26
1475052893,1474788692.6776,6,1
1475002119,1474732795.2926,3,29
1475069148,1474804947.5201,13,0
1474945309,1474945298.6519,5,70
1475076535,1474814318.8248,9,22
1475231427,1474962108.9328,25,35
1474907249,1474901039.267,25,13
1475000667,1474734423.0418,1,10
1475015495,1474752325.2869,10,1
1475007741,1474743500.8795,13,28
1474997078,1474729773.5768,3,30
1474867353,1474867318.756,12,2
1475110616,1475107512.396,29,1
1474915222,1474910069.8147,9,2
1474885379,1474882300.5727,23,0
1475155134,1475153054.0317,26,0
1475047097,1474777769.4748,13,10
1475117170,1475117170.3703,20,1
1475039697,1474777550.973,20,56
1475144382,1475139246.3664,19,22
1474915018,1474909877.5843,19,0
1475038352,1474770064.4386,8,62
1475012281,1474746999.475,7,70
1475072776,1474809592.067,8,14
1474871265,1474864094.9923,23,4
1475065810,1474800562.1949,19,19
1475001397,1474733068.5966,2,11
1475102725,1475098628.9995,9,9
1474890482,1474885329.6816,18,1
1474996966,1474729702.3805,1,10
1475061818,1474795561.9169,10,0
1475002328,1474732983.5943,3,6
1475058755,1474790467.2917,10,0
1475016780,1474750523.9518,7,57
1475344340,1475079123.8558,20,5
1475314018,1475051869.6357,15,113
1474880489,1474879465.0134,10,18
1474996980,1474729715.9293,1,10
1475066172,1474799300.0495,9,0
1475036071,1474773082.9425,4,22
1474994834,1474731666.0704,1,10
1474997094,1474729829.7322,1,10
1474996440,1474729768.0702,2,2
1474996488,1474729720.3643,1,10
1475017777,1474749390.8371,3,27
1474998492,1474735908.2338,4,19
1475002604,1474739988.3815,4,0
1472773765,1472749030.6232,1,1010
1472773780,1472749039.634,1,1010
1472773779,1472749045.1026,1,1010
1472773746,1472749045.74,1,1010
1472773737,1472749050.7876,1,1010
1472773724,1472749072.414,2,1020
1472773742,1472749122.3217,1,1010
1472773662,1472749126.2109,2,1017
1472773655,1472749133.3169,1,1010
1472766383,1472749253.3327,4,1031
1472766109,1472749536.9203,5,1005
1472765974,1472749646.3147,4,1013
1472767662,1472751029.8827,2,1002
1472767488,1472751203.5867,4,1004
1472763728,1472754963.8945,5,1005
1472763530,1472755165.8508,10,1004
1472765213,1472756607.3897,5,1050
1472764933,1472756833.1419,7,1010
1472765716,1472757072.0474,8,1008
1472759010,1472758661.5609,7,1013
1472760064,1472759651.534,10,1064
1472761241,1472760525.0619,5,1050
1472761557,1472761262.5322,6,1006
1472950393,1472761884.5532,7,1016
1472953930,1472765469.912,7,1016
1472947059,1472766225.1401,10,1004
1472947418,1472766858.4585,9,1018
1472947758,1472767613.9968,7,1001
1472948581,1472767753.1867,11,1002
1472944092,1472771224.1581,2,1020
1472944655,1472772699.4754,6,1002
1472934605,1472778654.603,12,1003
1472931051,1472783246.9212,11,1047
